id,title,published,num_authors,categories,summary
2203.17270v2,BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images via Spatiotemporal Transformers,2022-03-31,8,cs.CV,"3D visual perception tasks, including 3D detection and map segmentation based on multi-camera images, are essential for autonomous driving systems. In this work, we present a new framework termed BEVFormer, which learns unified BEV representations with spatiotemporal transformers to support multiple"
2512.08237v3,"Fast-BEV++: Fast by Algorithm, Deployable by Design",2025-12-09,8,cs.CV,"The advancement of vision-only Bird's-Eye-View (BEV) perception, a core paradigm for cost-effective autonomous driving, is hindered by the long-standing fundamental trade-off between perception accuracy and on-device deployment efficiency. In this work, we introduce Fast-BEV++, a BEV perception fram"
2404.06892v1,SparseAD: Sparse Query-Centric Paradigm for Efficient End-to-End Autonomous Driving,2024-04-10,18,cs.CV,"End-to-End paradigms use a unified framework to implement multi-tasks in an autonomous driving system. Despite simplicity and clarity, the performance of end-to-end autonomous driving methods on sub-tasks is still far behind the single-task methods. Meanwhile, the widely used dense BEV features in p"
2308.09244v2,SparseBEV: High-Performance Sparse 3D Object Detection from Multi-Camera Videos,2023-08-18,5,cs.CV,"Camera-based 3D object detection in BEV (Bird's Eye View) space has drawn great attention over the past few years. Dense detectors typically follow a two-stage pipeline by first constructing a dense BEV feature and then performing object detection in BEV space, which suffers from complex view transf"
2405.16110v1,A Study of Cosmological Models Based on Long Gamma-ray Bursts Duration Histogram,2024-05-25,2,astro-ph.CO;astro-ph.HE,"The duration of more than one thousand gamma-ray bursts (GRBs) has been measured by Swift satellite. Besides the redshift distribution of GRBs, the burst duration could be another significant property of GRBs that can be analyzed. In this project, First, we find the detection rate of Swift/BAT for a"
1711.01458v1,DDD17: End-To-End DAVIS Driving Dataset,2017-11-04,4,cs.CV,"Event cameras, such as dynamic vision sensors (DVS), and dynamic and active-pixel vision sensors (DAVIS) can supplement other autonomous driving sensors by providing a concurrent stream of standard active pixel sensor (APS) images and DVS temporal contrast events. The APS stream is a sequence of sta"
2408.16096v1,Accelerating Sensor Fusion in Neuromorphic Computing: A Case Study on Loihi-2,2024-08-28,4,cs.AR,"In our study, we utilized Intel's Loihi-2 neuromorphic chip to enhance sensor fusion in fields like robotics and autonomous systems, focusing on datasets such as AIODrive, Oxford Radar RobotCar, D-Behavior (D-Set), nuScenes by Motional, and Comma2k19. Our research demonstrated that Loihi-2, using sp"
2206.09907v2,ORFD: A Dataset and Benchmark for Off-Road Freespace Detection,2022-06-20,7,cs.CV,"Freespace detection is an essential component of autonomous driving technology and plays an important role in trajectory planning. In the last decade, deep learning-based free space detection methods have been proved feasible. However, these efforts were focused on urban road environments and few de"
2404.01586v1,Efficient Computation of Mean field Control based Barycenters from Reaction-Diffusion Systems,2024-04-02,4,math.OC,We develop a class of barycenter problems based on mean field control problems in three dimensions with associated reactive-diffusion systems of unnormalized multi-species densities. This problem is the generalization of the Wasserstein barycenter problem for single probability density functions. Th
2307.12345v1,"Tell me, what are you most afraid of? Exploring the Effects of Agent Representation on Information Disclosure in Human-Chatbot Interaction",2023-07-23,3,cs.HC,"Self-disclosure counts as a key factor influencing successful health treatment, particularly when it comes to building a functioning patient-therapist-connection. To this end, the use of chatbots may be considered a promising puzzle piece that helps foster respective information provision. Several s"
